country,year,deaths,avg_deaths,excess_deaths,excess_deaths_prc
Italy,2023,170170.14285714284,629684.8571428572,-459514.7142857143,-72.97534775899237
Latvia,2000,31353.714285714286,27931.75,3421.9642857142862,12.251163230783199
Latvia,2001,32246.857142857145,27931.75,4315.107142857145,15.448753274883046
Latvia,2002,31769.714285714286,27931.75,3837.9642857142862,13.740507793870007
Latvia,2003,31787.571428571428,27931.75,3855.8214285714275,13.804439136722287
Latvia,2004,31689.285714285714,27931.75,3757.5357142857138,13.452561025663318
Latvia,2005,32257.857142857145,27931.75,4326.107142857145,15.488134982080052
Latvia,2006,32418.0,27931.75,4486.25,16.06147126477933
Latvia,2007,32366.428571428572,27931.75,4434.6785714285725,15.876837546621935
Latvia,2008,30302.428571428572,27931.75,2370.6785714285725,8.487397214383533
Latvia,2009,29519.0,27931.75,1587.25,5.682601340768122
Latvia,2010,29718.0,27931.75,1786.25,6.395052225513977
Latvia,2011,27971.14285714286,27931.75,39.3928571428587,0.14103254233214427
Latvia,2012,28290.285714285714,27931.75,358.53571428571377,1.2836135017881578
Latvia,2013,28092.285714285714,27931.75,160.53571428571377,0.574742772242032
Latvia,2014,27861.285714285714,27931.75,-70.46428571428623,-0.25227307889511486
Latvia,2015,28135.14285714286,27931.75,203.3928571428587,0.7281779950875212
Latvia,2016,28194.714285714286,27931.75,262.96428571428623,0.941452954842737
Latvia,2017,28173.85714285714,27931.75,242.1071428571413,0.8667811463912619
Latvia,2018,28238.14285714286,27931.75,306.3928571428587,1.0969339806594958
Latvia,2019,27120.285714285714,27931.75,-811.4642857142862,-2.905168081893495
Latvia,2020,28221.571428571428,27931.75,289.82142857142753,1.037605694492567
Latvia,2021,34208.857142857145,27931.75,6277.107142857145,22.473017776749202
Latvia,2022,29604.285714285714,27931.75,1672.5357142857138,5.98793743423063
Latvia,2023,10950.42857142857,27931.75,-16981.321428571428,-60.79576621075095
Lithuania,2000,37937.0,39021.71428571429,-1084.7142857142899,-2.7797709700093822
Lithuania,2001,39482.57142857143,39021.71428571429,460.85714285713766,1.1810274133083278
Lithuania,2002,40097.42857142857,39021.71428571429,1075.7142857142826,2.756706888472344
Lithuania,2003,40126.28571428571,39021.71428571429,1104.5714285714203,2.830658388003727
Lithuania,2004,40911.42857142857,39021.71428571429,1889.7142857142826,4.842724929709457
Lithuania,2005,43085.71428571428,39021.71428571429,4063.9999999999927,10.414714151827534
Lithuania,2006,43900.42857142857,39021.71428571429,4878.714285714283,12.502562675726326
Lithuania,2007,44654.57142857143,39021.71428571429,5632.857142857138,14.435186269915636
Lithuania,2008,42822.857142857145,39021.71428571429,3801.142857142855,9.74109653233364
Lithuania,2009,41492.28571428572,39021.71428571429,2470.5714285714275,6.331273430178067
Lithuania,2010,41724.0,39021.71428571429,2702.28571428571,6.925082005623231
Lithuania,2011,40184.0,39021.71428571429,1162.2857142857101,2.978561387066531
Lithuania,2012,39842.0,39021.71428571429,820.2857142857101,2.102126288659783
Lithuania,2013,40701.42857142857,39021.71428571429,1679.7142857142826,4.3045630271789985
Lithuania,2014,39403.42857142857,39021.71428571429,381.7142857142826,0.9782099343954933
Lithuania,2015,41259.142857142855,39021.71428571429,2237.428571428565,5.733803889409543
Lithuania,2016,40491.42857142857,39021.71428571429,1469.7142857142826,3.766401124648539
Lithuania,2017,39304.28571428572,39021.71428571429,282.57142857142753,0.7241389409559486
Lithuania,2018,38748.28571428571,39021.71428571429,-273.42857142857974,-0.7007087628866192
Lithuania,2019,37542.857142857145,39021.71428571429,-1478.857142857145,-3.7898313027179054
Lithuania,2020,42381.142857142855,39021.71428571429,3359.428571428565,8.609126054357997
Lithuania,2021,47238.71428571429,39021.71428571429,8217.0,21.05750644329897
Lithuania,2022,41487.71428571429,39021.71428571429,2466.0,6.3195583411433915
Lithuania,2023,12307.428571428572,39021.71428571429,-26714.285714285717,-68.46005154639175
Luxembourg,2000,3674.1428571428573,4123.321428571428,-449.1785714285711,-10.893610386910684
Luxembourg,2001,3629.285714285714,4123.321428571428,-494.0357142857142,-11.981498964946773
Luxembourg,2002,3668.4285714285716,4123.321428571428,-454.8928571428569,-11.032194919144581
Luxembourg,2003,3954.8571428571427,4123.321428571428,-168.46428571428578,-4.08564524092055
Luxembourg,2004,3558.8571428571427,4123.321428571428,-564.4642857142858,-13.689553324729545
Luxembourg,2005,3552.8571428571427,4123.321428571428,-570.4642857142858,-13.835067083575137
Luxembourg,2006,3679.857142857143,4123.321428571428,-443.4642857142853,-10.755025854676786
Luxembourg,2007,3782.5714285714284,4123.321428571428,-340.75,-8.263968887772513
Luxembourg,2008,3500.0,4123.321428571428,-623.3214285714284,-15.11697400673867
Luxembourg,2009,3601.714285714286,4123.321428571428,-521.6071428571427,-12.65016933297532
Luxembourg,2010,3735.5714285714284,4123.321428571428,-387.75,-9.40382666539631
Luxembourg,2011,3729.1428571428573,4123.321428571428,-394.1785714285711,-9.559734264159433
Luxembourg,2012,3780.428571428571,4123.321428571428,-342.89285714285734,-8.315938087360228
Luxembourg,2013,3753.285714285714,4123.321428571428,-370.0357142857142,-8.97421461547123
Luxembourg,2014,3757.5714285714284,4123.321428571428,-365.75,-8.87027621629581
Luxembourg,2015,3941.0,4123.321428571428,-182.32142857142844,-4.421712731587743
Luxembourg,2016,3887.4285714285716,4123.321428571428,-235.89285714285688,-5.720942721280515
Luxembourg,2017,4168.714285714285,4123.321428571428,45.39285714285688,1.1008808779330055
Luxembourg,2018,4230.571428571428,4123.321428571428,107.25,2.6010584393649365
Luxembourg,2019,4206.571428571428,4123.321428571428,83.25,2.0190034039825733
Luxembourg,2020,4518.857142857143,4123.321428571428,395.5357142857147,9.592648090565001
Luxembourg,2021,4435.0,4123.321428571428,311.67857142857156,7.55892008003257
Luxembourg,2022,4342.857142857143,4123.321428571428,219.53571428571468,5.324244497761003
Luxembourg,2023,1468.142857142857,4123.321428571428,-2655.1785714285716,-64.39416905580626
Malta,2011,3183.0,3486.464285714286,-303.4642857142858,-8.704069821042605
Malta,2012,3340.8571428571427,3486.464285714286,-145.60714285714312,-4.176355497280306
Malta,2013,3152.4285714285716,3486.464285714286,-334.0357142857142,-9.580930332612859
Malta,2014,3192.0,3486.464285714286,-294.4642857142858,-8.445928642402764
Malta,2015,3401.285714285714,3486.464285714286,-85.17857142857156,-2.4431218692699352
Malta,2016,3270.4285714285716,3486.464285714286,-216.03571428571422,-6.196412657112709
Malta,2017,3477.1428571428573,3486.464285714286,-9.321428571428442,-0.26736050644840387
Malta,2018,3586.285714285714,3486.464285714286,99.82142857142844,2.8631134694379243
Malta,2019,3612.0,3486.464285714286,125.53571428571422,3.6006596941231885
Malta,2020,4006.1428571428573,3486.464285714286,519.6785714285716,14.905604326937855
Malta,2021,4101.571428571428,3486.464285714286,615.1071428571427,17.642720316325374
Malta,2022,4117.142857142857,3486.464285714286,630.6785714285711,18.089345530162557
Malta,2023,1074.857142857143,3486.464285714286,-2411.607142857143,-69.17056780815604
Netherlands,2000,137453.2857142857,148187.39285714284,-10734.10714285713,-7.243603477932253
Netherlands,2001,138039.85714285713,148187.39285714284,-10147.53571428571,-6.847772619947666
Netherlands,2002,139600.0,148187.39285714284,-8587.39285714284,-5.7949550846213675
Netherlands,2003,138975.0,148187.39285714284,-9212.39285714284,-6.2167183587768955
Netherlands,2004,135422.7142857143,148187.39285714284,-12764.67857142855,-8.613876204525772
Netherlands,2005,134639.2857142857,148187.39285714284,-13548.10714285713,-9.142550443490101
Netherlands,2006,132917.14285714284,148187.39285714284,-15270.25,-10.304689019477511
Netherlands,2007,130276.71428571429,148187.39285714284,-17910.67857142855,-12.086506298612724
Netherlands,2008,132049.7142857143,148187.39285714284,-16137.67857142855,-10.890048242488323
Netherlands,2009,132936.14285714287,148187.39285714284,-15251.24999999997,-10.291867415943164
Netherlands,2010,134488.42857142858,148187.39285714284,-13698.96428571426,-9.244352047491974
Netherlands,2011,132937.85714285713,148187.39285714284,-15249.53571428571,-10.290710579534068
Netherlands,2012,137532.42857142858,148187.39285714284,-10654.96428571426,-7.190196197044893
Netherlands,2013,138544.0,148187.39285714284,-9643.39285714284,-6.507566312634546
Netherlands,2014,136127.14285714287,148187.39285714284,-12060.24999999997,-8.138512843414702
Netherlands,2015,145710.14285714284,148187.39285714284,-2477.25,-1.671700913442849
